title,source_name_ch1,characteristics_ch1,characteristics_ch1.1,description,cell type:ch1
WT 1-1,Leukemic monocyte‎,cell line: THP1,cell type: Leukemic monocyte,CL.1.1,Leukemic monocyte
WT 1-2,Leukemic monocyte‎,cell line: THP1,cell type: Leukemic monocyte,CL.1.2,Leukemic monocyte
WT 2-1,Leukemic monocyte‎,cell line: THP1,cell type: Leukemic monocyte,CL.2.1,Leukemic monocyte
WT 2-2,Leukemic monocyte‎,cell line: THP1,cell type: Leukemic monocyte,CL.2.2,Leukemic monocyte
WT 3-1,Leukemic monocyte‎,cell line: THP1,cell type: Leukemic monocyte,CL.3.1,Leukemic monocyte
WT 3-2,Leukemic monocyte‎,cell line: THP1,cell type: Leukemic monocyte,CL.3.2,Leukemic monocyte
WT+ IFNγ 1-1,Leukemic monocyte‎,cell line: THP1,cell type: Leukemic monocyte,CL.IFNG.1.1,Leukemic monocyte
WT+ IFNγ 1-2,Leukemic monocyte‎,cell line: THP1,cell type: Leukemic monocyte,CL.IFNG.1.2,Leukemic monocyte
WT+ IFNγ 2-1,Leukemic monocyte‎,cell line: THP1,cell type: Leukemic monocyte,CL.IFNG.2.1,Leukemic monocyte
WT+ IFNγ 2-2,Leukemic monocyte‎,cell line: THP1,cell type: Leukemic monocyte,CL.IFNG.2.2,Leukemic monocyte
WT+ IFNγ 3-1,Leukemic monocyte‎,cell line: THP1,cell type: Leukemic monocyte,CL.IFNG.3.1,Leukemic monocyte
WT+ IFNγ 3-2,Leukemic monocyte‎,cell line: THP1,cell type: Leukemic monocyte,CL.IFNG.3.2,Leukemic monocyte
TET2 KO 1-1,Leukemic monocyte‎,cell line: THP1,cell type: Leukemic monocyte,KO.1.1,Leukemic monocyte
TET2 KO 1-2,Leukemic monocyte‎,cell line: THP1,cell type: Leukemic monocyte,KO.1.2,Leukemic monocyte
TET2 KO 2-1,Leukemic monocyte‎,cell line: THP1,cell type: Leukemic monocyte,KO.2.1,Leukemic monocyte
TET2 KO 2-2,Leukemic monocyte‎,cell line: THP1,cell type: Leukemic monocyte,KO.2.2,Leukemic monocyte
TET2 KO 3-1,Leukemic monocyte‎,cell line: THP1,cell type: Leukemic monocyte,KO.3.1,Leukemic monocyte
TET2 KO 3-2,Leukemic monocyte‎,cell line: THP1,cell type: Leukemic monocyte,KO.3.2,Leukemic monocyte
TET2 KO+ IFNγ 1-1,Leukemic monocyte‎,cell line: THP1,cell type: Leukemic monocyte,KO.IFNG.1.1,Leukemic monocyte
TET2 KO+ IFNγ 1-2,Leukemic monocyte‎,cell line: THP1,cell type: Leukemic monocyte,KO.IFNG.1.2,Leukemic monocyte
TET2 KO+ IFNγ 2-1,Leukemic monocyte‎,cell line: THP1,cell type: Leukemic monocyte,KO.IFNG.2.1,Leukemic monocyte
TET2 KO+ IFNγ 2-2,Leukemic monocyte‎,cell line: THP1,cell type: Leukemic monocyte,KO.IFNG.2.2,Leukemic monocyte
TET2 KO+ IFNγ 3-1,Leukemic monocyte‎,cell line: THP1,cell type: Leukemic monocyte,KO.IFNG.3.1,Leukemic monocyte
TET2 KO+ IFNγ 3-2,Leukemic monocyte‎,cell line: THP1,cell type: Leukemic monocyte,KO.IFNG.3.2,Leukemic monocyte
