"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"KEGG_SPLICEOSOME","KEGG_SPLICEOSOME",126,-0.444739387819114,-2.92191051513132,3.86750644130097e-15,4.83438305162621e-13,2.32050386478058e-13,5285,"tags=70%, list=32%, signal=48%","10286/6625/5093/22916/84991/3304/84321/8559/9410/51691/51503/9939/10569/23451/11157/10189/220988/6432/51690/3303/10285/10465/3192/10713/4116/58517/8683/10992/10946/3310/10772/8896/9416/56259/6631/9092/10450/10262/144983/84844/6635/22985/25804/6427/26121/9343/9128/6628/10523/56949/57461/988/8449/151903/27258/9775/6634/6637/11325/6633/22827/83443/11338/1659/9785/4809/29896/22938/55696/84950/9716/55119/1665/3178/6429/23450/153527/6428/55660/25949/23350/9879/57187/3312/4670/6434/3190/3183"
"KEGG_ENDOCYTOSIS","KEGG_ENDOCYTOSIS",153,-0.332385884069664,-2.24504706222591,8.59784387093181e-09,5.37365241933238e-07,2.57935316127954e-07,4334,"tags=48%, list=26%, signal=35%","8396/116986/867/11311/26052/79643/89853/2869/5868/7037/80230/5584/11267/26119/3303/60682/1785/10617/2870/382/3949/8027/3310/4734/3579/5337/409/5338/23396/116983/163/27183/29082/22841/55738/6455/57403/5878/26286/84364/161/200576/7189/1212/51160/28964/160/156/9230/3480/1173/9146/30011/51652/30844/3106/7852/51028/5869/2060/10015/23550/9135/10193/25978/3107/8411/9101/3312/998/128866/9815/3105"
"KEGG_INSULIN_SIGNALING_PATHWAY","KEGG_INSULIN_SIGNALING_PATHWAY",111,-0.36535693904183,-2.35301040116366,5.83183412679781e-08,2.42993088616575e-06,1.16636682535956e-06,3730,"tags=48%, list=23%, signal=37%","4893/1978/5257/10603/5573/5565/5567/3643/5584/23533/1398/5605/5296/2002/3845/5106/5834/6720/5571/6198/7248/2885/5294/5594/57521/51763/6199/122809/5291/5595/5499/9021/7249/2475/6654/5256/6009/5566/369/3551/5500/2932/23265/9470/8660/5295/5170/2872/1399/5293/5894/5836/805"
"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON","KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",147,-0.328374181712418,-2.21161808955839,1.23548302951097e-07,3.86088446722177e-06,1.85322454426645e-06,4763,"tags=47%, list=29%, signal=34%","5501/10095/3682/3985/71/8396/9459/9138/23365/23191/4893/3984/8874/23533/81873/4478/1398/5605/7430/5296/2934/3845/5829/3688/23396/10093/387/5305/5294/3678/5594/10094/10163/4659/5291/5595/200576/5499/5962/28964/6654/7409/10672/4627/3071/8826/26999/3685/369/929/5500/7454/87/55845/5295/89846/9475/10788/1445/1730/10451/7114/998/1399/324/5293/3683/5894/6093"
"KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY","KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY",54,-0.446388445505011,-2.47297922321747,4.44175363271157e-07,1.11043840817789e-05,5.33010435925388e-06,4748,"tags=57%, list=29%, signal=41%","6352/4210/10454/7184/7124/6885/4793/8517/3320/2920/3606/10392/22900/5594/55914/5595/4671/7189/10910/329/331/5970/257397/64127/3551/841/23118/9051/7128/3326/834"
"KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS","KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS",124,-0.324640148855077,-2.12679075102823,1.63752886033856e-06,3.41151845903867e-05,1.63752886033856e-05,2820,"tags=57%, list=17%, signal=48%","64750/6921/8916/26091/997/7328/1161/57448/55070/51366/92912/51588/27338/7322/867/89910/22888/672/8945/10075/9820/996/7329/8454/9063/4734/9978/9690/29882/10273/10277/118424/246184/25898/10055/63893/8924/55236/9040/10393/8450/55120/7189/9021/51529/9616/7318/51433/329/64682/25847/331/23291/55284/9354/8453/5371/6923/7323/29945/10477/65264/8554/6500/8065/7320/11060/8451/10054/1642/8452"
"KEGG_RNA_DEGRADATION","KEGG_RNA_DEGRADATION",55,-0.412905049329958,-2.3037630104952,1.19230450714959e-05,0.000212911519133855,0.000102197529184251,4809,"tags=60%, list=29%, signal=43%","51691/51013/219988/4850/23019/27257/11340/11157/23644/10200/51690/3313/23404/5394/4849/9652/55802/10438/25804/80349/6499/22894/29883/27258/5073/87178/9125/23517/4848/1656/22803/9337/54464"
"KEGG_ERBB_SIGNALING_PATHWAY","KEGG_ERBB_SIGNALING_PATHWAY",71,-0.365737035438824,-2.14149135446387,1.57663134412688e-05,0.000218976575573178,0.000105108756275125,6668,"tags=65%, list=41%, signal=39%","8440/208/5335/53358/207/5578/10298/7039/572/145957/6464/374/867/4893/1978/23533/1398/5605/5296/2002/818/3845/2069/6198/2885/6416/5294/5594/6199/5291/5595/2475/5579/6654/27/4690/25/3725/369/2932/6776/5295/1399/6777/5293/5894"
"KEGG_NEUROTROPHIN_SIGNALING_PATHWAY","KEGG_NEUROTROPHIN_SIGNALING_PATHWAY",105,-0.322999609877448,-2.0513440593846,1.49550028798023e-05,0.000218976575573178,0.000105108756275125,3999,"tags=46%, list=24%, signal=35%","596/2309/25970/4893/814/10603/4793/23533/7534/1398/5605/5296/818/3845/7529/7157/2885/387/581/11108/5294/5594/396/3654/5291/5595/8986/7189/6654/25/10818/5970/3725/9261/3551/2932/8660/5295/5170/1445/5663/998/1399/57498/5293/5894/5908/805"
"KEGG_ACUTE_MYELOID_LEUKEMIA","KEGG_ACUTE_MYELOID_LEUKEMIA",53,-0.400958564832236,-2.21247633439883,3.68171492784902e-05,0.000460214365981128,0.000220902895670941,3759,"tags=55%, list=23%, signal=42%","11040/4893/1978/861/8517/23533/5605/5296/6934/3845/6198/2885/5294/5594/6199/5291/5595/6688/2475/6654/5371/5970/369/3551/6776/5295/6777/5293/5894"
